Question ID,Question Number,Question Content,Image ID,User ID
a1,1,Is is a renewal of vows rather than a wedding based on lack of traditional topping and informal garb?,114786,458
a2,2,Is it a chocolate cake?,114786,458
a3,1,what wine would pair well with this pizza?,149712,458
a4,2,Is this a homemade pizza or frozen pizza?,149712,458
a5,1,Are these tennis players off the field?,58831,458
a6,2,where is this tennis event taking place?,58831,458
a7,1,What camera tools can be used to improve the quality of this image?,172501,458
a8,2,Who is she looking at? A friend?,172501,458
a9,1,How long has she been married?,521416,458
a10,2,What are her favourite TV shows?,521416,458
a11,1,Which month of the year do you think it is in this photo?,29821,459
a12,2,At what time of day was this photo taken?,29821,459
a13,1,How warm is the jacket that the man on the left is wearing?,563545,460
a14,2,What is the woman on the right going to eat for breakfast this Saturday?,563545,460
a15,1,In which direction will the bird fly?,80404,459
a16,2,How high off the ground is the man on the balcony?,80404,459
a17,1,Which member of the audience currently needs to use the restroom?,473616,460
a18,2,Where is the tennis player going to walk his dog this evening?,473616,460
a19,1,How many times did the man in the picture change his tie before deciding on the one he is wearing?,141386,460
a20,2,What is the temperature of the room the man is standing in?,141386,460
a21,1,How long ago has it been since this giraffe has seen its mother?,380500,460
a22,2,Which person in this photo is craving a cheeseburger?,380500,460
a23,1,How deep is the water?,534866,460
a24,2,Which room in his home is this man going to sleep tonight?,534866,460
a25,1,Why does one person have a longer board than the others?,6332,459
a26,2,Which individual is more than likely the instructor or leader?,6332,459
a27,1,How do you think this person felt at the time this photo was taken?,116968,459
a28,2,Is this individual ending or beginning their day in the water?,116968,459
a29,1,"Based on the picture, what is the approximate temperature?",105633,461
a30,2,What shoe brand is the girl with the red hair wearing?,105633,461
a31,1,How many flights a day do you think this plane flew?,316474,459
a32,2,How long do you think this plane has been in disrepair?,316474,459
a33,1,How does the sun affect the height the kites may fly?,546703,461
a34,2,Does the color of the kite affect the overall score?,546703,461
a35,1,Is a vegan lifestyle better for young children? ,103251,461
a36,2,Should parents be worried about potential hazards in the home when having children?,103251,461
a37,1,Should more teams have kids' programs for young fans?,446557,461
a38,2,Should the size of the baseball be smaller?,446557,461
a39,1,Should motorcycles have their own designated parking spots?,54286,461
a40,2,Should parking spaces be more spread apart?,54286,461
a41,1,What do you think the man is being interviewed about?,322835,462
a42,2,Do you think this is an intense conversation?,322835,462
a43,1,Do you think these people still know each other?,39708,462
a44,2,How old do you think the people are in this photo?,39708,462
a45,1,What do you think is going on in this photo?,343908,462
a46,2,Do you understand this photo?,343908,462
a47,1,What do you think this lecture is about?,427169,462
a48,2,What college do you think this picture was taken in?,427169,462
a49,1,How do you think this guy feels looking in the mirror?,259366,462
a50,2,Why do you think this photo was taken?,259366,462
a51,1,What do you think everyone is looking at?,459524,463
a52,2,Are cars not allowed on the street in this image?,459524,463
a53,1,What country is this image from?,413923,463
a54,2,How hot do you think it is outside in this image?,413923,463
a55,1,What time of day is it?,390756,463
a56,2,Is there a beach nearby?,390756,463
a57,1,How old do you think the children are in this picture?,340494,463
a58,2,Which Olympics do you think the boy's shirt is from?,340494,463
a59,1,How long do you think the boy in the green shirt has been playing tee ball?,240490,463
a60,2,Was this picture taken before practice or before a game?,240490,463
a61,1,What might the girl in the picture be thinking about?,271633,464
a62,2,Do you think these children are homeless or just hanging out?,271633,464
a63,1,What filled you with joy as a kid?,204467,464
a64,2,What activities did you like to do with your parents as a child?,204467,464
a65,1,Were phones created to distract us from what we could truly become?,484277,464
a66,2,how can we keep a balance of technology use and self care in our daily lives?,484277,464
a67,1,Do you prefer dogs or cats as pets?,250400,464
a68,2,What do your daily activities consist of?,250400,464
a69,1,What gives you the feeling of nostalgia?,426829,464
a70,2,What are some memories you cherish the most when growing up?,426829,464
a71,1,Is this a rave?,143528,465
a72,2,shouldn't these kids be in school ,143528,465
a73,1,What foods are part of an elephant's diet?,294138,466
a74,2,How tall is the average elephant?,294138,466
a75,1,Would that bear be a good gift for children?,399825,466
a76,2,Which toy of the two would a kid prefer?,399825,466
a77,1,Did this man attend college?,472426,466
a78,2,Where was this picture taken?,472426,466
a79,1,is he tired of standing there,578023,465
a80,2,I don't see the ball,578023,465
a81,1,Where is the man in the picture going?,24980,466
a82,2,How many people were inside of that train?,24980,466
a83,1,What city is this picture located at?,107705,466
a84,2,What type of stores are inside the building?,107705,466
a85,1,Is this a circus,438795,465
a86,2,Are the animals happy,438795,465
a87,1,How many people do you think attended this wedding?,344157,467
a88,2,What do you think the flavor of the cake is?,344157,467
a89,1,Why do you think this dog is interested in this movie?,28878,467
a90,2,What dog breed do you think this is?,28878,467
a91,1,How long do you believe this dad was away from his family?,418517,467
a92,2,Do you think this little girl is the only child?,418517,467
a93,1,What rank do you think this tennis player is? ,509255,467
a94,2,What do you think about her tennis outfit?,509255,467
a95,1,What do you believe this man is thinking when he looks at this car?,306439,467
a96,2,What country do you think this image is from?,306439,467
a97,1,Is this a house,369452,465
a98,2,what does that painting mean,369452,465
a99,1,what game is he playing,256385,465
a100,2,Is this an apartment,256385,465
a101,1,Why is the women dressed so neatly when attended to a horse?,423247,468
a102,2,What's the horse's name?,423247,468
a103,1,What's the woman drinking?,314392,468
a104,2,What year was this photo taken?,314392,468
a105,1,Where was this photo taken?,375939,468
a106,2,Has the photo been edited?,375939,468
a107,1,How old is the girl?,69578,468
a108,2,Where was the photo taken?,69578,468
a109,1,What happened to the fridge?,305600,468
a110,2,Why is the counter so cluttered?,305600,468
a111,1,What do you think they are discussing?,468518,471
a112,2,Who took this picture?,468518,471
a113,1,What restaurant are they heading to?,346250,471
a114,2,How long have they been together?,346250,471
a115,1,Does this kid have siblings?,259652,471
a116,2,What country was this photo taken in?,259652,471
a117,1,How old is this giraffe?,110084,471
a118,2,Do giraffes know how to jump?,110084,471
a119,1,Do you think they are still alive today?,229919,471
a120,2,Who's their mother's favorite of the two?,229919,471
a121,1,Is she old enough to drink?,294325,473
a122,2,How many calories do you think is in her beer?,294325,473
a123,1,Can you tell the age of this horse?,402762,473
a124,2,How tall do you think the person is?,402762,473
a125,1,How long do you think she’s been cooking?,85235,473
a126,2,Is she head chef?,85235,473
a127,1,Do you think this bathroom is small?,510225,473
a128,2,How long would it take to clean this bathroom?,510225,473
a129,1,Who is the photographer?,47054,473
a130,2,What do you imagine the colognes smell like?,47054,473
a131,1,What is she looking at on her phone,122631,474
a132,2,How many people were with her,122631,474
a133,1,What is the person in the pink hat saying,71441,474
a134,2,What kind of event in going on here,71441,474
a135,1,Do they feel cramped sitting at the table together,130834,474
a136,2,Is there a third person that is sitting with them,130834,474
a137,1,How skilled are they at skiing,389133,474
a138,2,Are they close to the bottom of the area they are skiing down,389133,474
a139,1,Is this picture supposed to evoke a sad feeling,494671,474
a140,2,How long did it take to set up this picture,494671,474
a151,1,Are these children brothers with different leisure interests?,460885,476
a152,2,Are these children at a daycare or camp of some kind?,460885,476
a153,1,Are these teenagers eating out before their prom night?,460575,476
a154,2,Are these teenagers talking about the roll on the guy's plate or the chicken?,460575,476
a155,1,Is this woman in a bakery or donut shop?,565513,476
a156,2,Is this woman enjoying the doughnut or repulsed by it?,565513,476
a157,1,Is the batter going to hit the ball?,35552,476
a158,2,What do you think the weather is in this picture,35552,476
a159,1,Is this a group of friends at a party or place of work?,186753,476
a160,2,What game are these people playing?,186753,476
a161,1,Which mountain do you think would be the most fun to ski down?,186254,477
a162,2,How do skiers practice in the summer?,186254,477
a163,1,How would you feel about your child wanting to snowboard at a young age?,565767,477
a164,2,"Should snowboarders wear helmets, even if not going down a large distance?",565767,477
a165,1,Is there a strong emotional connection between humans and their pets?,294909,477
a166,2,"Because cats can jump so high, are items in a cat owner's home more breakable?",294909,477
a167,1,What occasion are these people celebrating?,547348,478
a168,2,How might the weather impact this person's mood?,547348,478
a169,1,Where do you think the suitcases are being thrown?,202076,477
a170,2,Do people who work on ships have to fit a specific fitness requirement?,202076,477
a171,1,Is this a family-friendly event or a family event?,358300,478
a172,2,How many pizzas would you need to order to feed a crowd of double this size?,358300,478
a173,1,Which body part hurts to tattoo the most?,494208,477
a174,2,Is it easier to wear glasses or contacts?,494208,477
a175,1,Is red wine or white wine more popular?,364455,478
a176,2,Is this a political fundraiser.,364455,478
a177,1,Which cities could have a similar skyline?,123552,478
a178,2,How might climate change impact this skyline?,123552,478
a179,1,How many strikes did the player hit?,577953,479
a180,2,What happens after you catch a baseball?,577953,479
a181,1,Do you like sugar with your tea?,308575,479
a182,2,Is it date night?,308575,479
a183,1,What time of year is best to  kites?,489263,478
a184,2,Is it a good idea to fly kites at the waters edge?,489263,478
a185,1,How fast can horses run?,155058,479
a186,2,Do the horses enjoy being ridden?,155058,479
a187,1,What game can you play on the wii?,60350,479
a188,2,Are family game nights enjoable?,60350,479
a189,1,Who is the current best tennis player?,500005,479
a190,2,How har can a tennis ball be hit?,500005,479
a191,1,What animal does the teddy bear so have symbolize?,276870,480
a192,2,Is this exactly a police officer?,276870,480
a193,1,Is the skater class to water?,132710,480
a194,2,What kind of game is this?,132710,480
a195,1,What is the wines trying to help the baby out with,326048,480
a196,2,What kind of facial expression is the woman having?,326048,480
a197,1,What is the name of the bank snack?,107147,480
a198,2,Is this s delivered package already?,107147,480
a199,1,What season of this year could this be?,200796,480
a200,2,What kind of event is this?,200796,480
a211,1,What do you think the weather is like where the picture takes place?,258956,482
a212,2,What do you feel like the woman is looking at?,258956,482
a213,1,What kind of event do you feel the man is going to?,466445,482
a214,2,Which relative do you think took this picture?,466445,482
a215,1,How long do you think this rider has been professionally riding for?,23253,482
a216,2,Do you think his back hurts?,23253,482
a217,1,Does this child ride a skateboard often?,138100,482
a218,2,Do you think this child learned skating from a family member?,138100,482
a219,1,Do you think this child has flown a kite before?,375809,482
a220,2,How cold do you think it is?,375809,482
a221,1,How likely do you think he will hit a home run?,87602,483
a222,2,Is he happy playing this sport or just doing it to please his parents?,87602,483
a223,1,Is this an halloween party?,468529,483
a224,2,Did rapture happened and took everyone at the party but left the bartender?,468529,483
a225,1,Did someone force him to sit outside?,514131,483
a226,2,Is he contemplating running away from home?,514131,483
a227,1,Are the people on the beach genuinely happy or forced to be out there by aliens?,404964,483
a228,2,Are ghost flying the kites?,404964,483
a229,1,Is the dog a great swimmer?,103581,483
a230,2,Is the guy rowing the canoe a dog lover?,103581,483
a231,1,Why do people enjoy flying kites?,248797,484
a232,2,Is the beach a place that brings you joy?,248797,484
a233,1,What was your favorite wii game to play?,405121,484
a234,2,Do you think video games are harmful in anyway?,405121,484
a235,1,Do you like the rain? ,5094,484
a236,2,Why do you think the design of umbrellas hasn't changed much?,5094,484
a237,1,Do you prefer to tell time digitally or the old fashioned way?,356938,484
a238,2,"Time isn't real, do you agree?",356938,484
a239,1,Have you ever tried rollerskating?,188009,484
a240,2,"If you ever roller-skated, rode a bike/motorcycle do you always wear a helmet? ",188009,484
a241,1,Why is the man recording these women? ,562845,485
a242,2,Is the man in the background supposed to be a part of the video?,562845,485
a243,1,Did he just hit a home run? ,468401,485
a244,2,How many teams has he played for?,468401,485
a245,1,Is this lady going to work?,376731,485
a246,2,what part of the country is she currently in?,376731,485
a247,1,How important is motorcycle safety?,226176,485
a248,2,Are they going to work?,226176,485
a249,1,Did they get dressed up for a picture or video?,293853,485
a250,2,What are they symbolizing?,293853,485
a251,1,How popular is skiing in the United States?,522971,486
a252,2,I wonder where she is skiing?,522971,486
a253,1,Why are the people in this image huddled in a crowd?,41745,486
a254,2,Are these people possibly protesting?,41745,486
a255,1,When was the image taken?,168083,486
a256,2,Are they siblings or romantic partners?,168083,486
a257,1,What happened right before this picture was taken?,127388,486
a258,2,Who took the photo?,127388,486
a259,1,How popular is tennis?,508749,486
a260,2,Does that Dell laptop still work?,508749,486
a271,1,what is the average number of goals scored per soccer games at the collegiate level? ,379613,488
a272,2,Did you know student athletes suicide rate is higher than the normal student in college?,379613,488
a273,1,About how much money do you think the company Apple makes a year?,366925,488
a274,2,Are these men part of a bowling league?,366925,488
a275,1,How many tennis players does Gatorade sponsor altogether?,402916,488
