Question ID,Question Number,Question Content,Image ID,User ID
a1,1,Is is a renewal of vows rather than a wedding based on lack of traditional topping and informal garb?,114786,458
a2,2,Is it a chocolate cake?,114786,458
a3,1,what wine would pair well with this pizza?,149712,458
a4,2,Is this a homemade pizza or frozen pizza?,149712,458
a5,1,Are these tennis players off the field?,58831,458
a6,2,where is this tennis event taking place?,58831,458
a7,1,What camera tools can be used to improve the quality of this image?,172501,458
a8,2,Who is she looking at? A friend?,172501,458
a9,1,How long has she been married?,521416,458
a10,2,What are her favourite TV shows?,521416,458
a111,1,What do you think they are discussing?,468518,471
a112,2,Who took this picture?,468518,471
a113,1,What restaurant are they heading to?,346250,471
a114,2,How long have they been together?,346250,471
a115,1,Does this kid have siblings?,259652,471
a116,2,What country was this photo taken in?,259652,471
a117,1,How old is this giraffe?,110084,471
a118,2,Do giraffes know how to jump?,110084,471
a119,1,Do you think they are still alive today?,229919,471
a120,2,Who's their mother's favorite of the two?,229919,471
a167,1,What occasion are these people celebrating?,547348,478
a168,2,How might the weather impact this person's mood?,547348,478
a171,1,Is this a family-friendly event or a family event?,358300,478
a172,2,How many pizzas would you need to order to feed a crowd of double this size?,358300,478
a175,1,Is red wine or white wine more popular?,364455,478
a176,2,Is this a political fundraiser.,364455,478
a177,1,Which cities could have a similar skyline?,123552,478
a178,2,How might climate change impact this skyline?,123552,478
a183,1,What time of year is best to  kites?,489263,478
a184,2,Is it a good idea to fly kites at the waters edge?,489263,478
a311,1,Is this her second or third slice of pizza?,236184,492
a312,2,Is this store in her office building or far away from her office?,236184,492
a313,1,Does he enjoy a lot of spicy foods?,340220,492
a314,2,Did he drop that fork on the floor before placing it on the counter?,340220,492
a315,1,What's over the next hill?,402224,492
a316,2,Did it snow today or yesterday?,402224,492
a317,1,Is this park in the United States?,102256,492
a318,2,Are there any dogs in the area?,102256,492
a319,1,Does this house have any hidden treasures?,539571,492
a320,2,Is the television over 40 inches?,539571,492
a341,1,Where are these people going?,65195,495
a342,2,What types of food do elephants eat?,65195,495
a343,1,What types of jokes do women enjoy?,369931,495
a344,2,What are the right kinds of food for women?,369931,495
a345,1,What type of equipment do you need to enjoy skiing?,189280,495
a346,2,What kind of jobs are available for women skiiers?,189280,495
a347,1,How do you retrieve a kite that has flown away?,23951,495
a348,2,Is it safe to fly a kite at night?,23951,495
a349,1,How much does it rain in Japan?,146313,495
a350,2,Where can I purchase a clear umbrella?,146313,495
a351,1,How did this happened?,69874,496
a352,2,Where did it come from?,69874,496
a353,1,Who is this tennis player?,395178,496
a354,2,What is her ranking in tennis?,395178,496
a355,1,Where are they located?,534633,496
a356,2,What is their mission to do?,534633,496
a357,1,What is this?,557515,496
a358,2,What are they going to do with it?,557515,496
a359,1,Where are the elephant?,329118,496
a360,2,What type are they?,329118,496
a371,1,I wonder if what she is about to eat is healthy?,388662,499
a372,2,I wonder how she is going to feel after she finishes the meal?,388662,499
a373,1,Which picture do you think would encourage you or inspire you?,521867,499
a374,2,How do these pictures make you feel?,521867,499
a375,1,I wonder what they are looking at?,68287,499
a376,2,Why are the two men wearing shades?  ,68287,499
a377,1,What are they happy about?,296233,499
a378,2,Where are they from?,296233,499
a379,1,What is this man doing?,461835,499
a380,2,I wonder what he is thinking about?  ,461835,499
a421,1,Where did you say that beach was?,335027,504
a422,2,What do you mean this isn't a skate board?,335027,504
a423,1,Do you think the jacket fits him?,36439,504
a424,2,Did we forget the rest of the costume?,36439,504
a425,1,Is that the leader of the parade?,477774,504
a426,2,Is this guy for real?,477774,504
a427,1,Why are the police blocking traffic?,366414,504
a428,2,Is going to allow us to cross the street?,366414,504
a429,1,Do you still think that they are coming to the party?,168488,504
a430,2,Why did you pick such a lousy day to do this?,168488,504
a451,1,Where is their final destination located?,112410,508
a452,2,Does this aircraft transport people?,112410,508
a453,1,How many times does a horse drink water a day,384157,507
a454,2,Why do people control horses with ropes,384157,507
a455,1,Where is this beach located?,563617,508
a456,2,Are they on spring break?,563617,508
a457,1,What game is this family playing?,403743,508
a458,2,Are they being rewarded for doing well in school?,403743,508
a459,1,Is there a traffic jam?,270716,508
a460,2,Has the lumber truck broken down?,270716,508
a461,1,What country are they in?,5313,508
a462,2,Is this the local market area?,5313,508
a463,1,What are the health benefits of swimming ,563617,507
a464,2,Does swimming have any side effects if done too often,563617,507
a467,1,Is it advisable to drink milk from cows without factory processes ,393503,507
a468,2,How long does it take a cow to grow to this size,393503,507
a471,1,is this person racist?,442321,510
a472,2,How fast do you think this person will drive on the highway?,442321,510
a473,1,do you think the dog belongs to the little girl?,286149,510
a474,2,What do you think the little girl's goal is?,286149,510
a475,1,Who do you think the person is talking to on the phone,429096,510
a476,2,Is this person mean?,429096,510
a477,1,Why are they happy,183740,507
a478,2,Are they mothers or teens?,183740,507
a479,1,Do you think the guys in the photo are sexist?,200910,510
a480,2,Will she grow up to be in the olympics?,200910,510
a481,1,What racial background do you think the person is?,571078,510
a482,2,Do you think the person likes to go to the beach?,571078,510
a485,1,What are they celebrating,446141,507
a486,2,Are they underwater,446141,507
a531,1,Was this picture taken at a real sporting event?,456987,515
a532,2,Are these ladies on a school campus?,456987,515
a533,1,Is this a picture of a person?,431043,515
a534,2,"Was this picture intended to be distorted?
",431043,515
a535,1,Was this picture taken in a residential area?,260696,515
a536,2,Does this person skateboard often?,260696,515
a537,1,Will this elephant actually fit in the cage?,125626,515
a538,2,Where is the location the picture was taken?,125626,515
a541,1,"Why are you unable to exit after midnight?
",172151,515
a542,2,Is this a tourist area?,172151,515
a571,1,I wonder if this man has built this race track in his backyard. ,251210,519
a572,2,"He is doing a wheelie, I wonder if he can do spinouts?",251210,519
a573,1,"Is this at the US Capital near the train station?
",32442,519
a574,2,Is she a parent looking to slow cars down at her child's school crossing?,32442,519
a575,1,Is it safe for this lady to ride her bike on this could be busy street?,29821,519
a576,2,I wonder if this is her only transportation to and fro?,29821,519
a577,1,Are these men tired and amused at the same time?,366925,519
a578,2,Could this be their last day of classes and instructors and they can't wait for the day to end?,366925,519
a579,1,Did he just forget to turn on the lights?,141386,519
a580,2,"His day is over, Is he happy to be home?",141386,519
a581,1,Where are the girls going?,105633,520
a582,2,What time of the day is it?,105633,520
a583,1,How many of the players have professional training?,39708,520
a584,2,How many of them do you think have been playing tennis since they were kids?,39708,520
a585,1,What do you think they will use the horse for?,390935,520
a586,2,What are the men discussing?,390935,520
a587,1,Does it really appear to be raining in the area?,323448,521
a588,2,What country do you think the little girl is in?,323448,521
a589,1,Is this picture being used for a magazine or online ad?,372604,520
a590,2,Do you think a clothing brand is sponsoring this picture?,372604,520
a591,1,"There seem to be many people waiting for the train, so why are they not boarding?",188693,521
a592,2,What state or country do you think the train is in?,188693,521
a593,1,Do you like tennis?,398099,521
a594,2,Is this a professional tennis match?,398099,521
a595,1,What kind of celebration is taking place?,579533,520
a596,2,Where did this event take place?,579533,520
a597,1,Is this woman trying to train the cat?,250400,521
a598,2,Do you think the cat has been bad and needs discipline?,250400,521
a599,1,What is this lady doing with the remote control?,405121,521
a600,2,Why do you think she is sitting on the edge of the sit?,405121,521
a631,1,Is the lady in green wearing any sunscreen?,489263,527
a632,2,Would the people laying on the grass try to go into the water to cool off?,489263,527
a633,1,Was the man in the back rushing to go somewhere?,226176,527
a634,2,Are they friends or did the driver pick up a hitchhiker?,226176,527
a635,1,Are the men in the front headed back to work after lunch?,237833,527
a636,2,How popular is this main street?,237833,527
a637,1,Do the children live near this park?,517362,527
a638,2,How often do different people's kites get tangled together?,517362,527
a639,1,Does the owner of the car have a large collection of classic cars?,306439,527
a640,2,Do the shops on this street generate a lot of sales?,306439,527
a699,1,Is there an emergency?,366414,535
a700,2,Why is everyone in a rush?,366414,535
a703,1,Where's the beach?,335027,535
a704,2,Do surfers have more fun?,335027,535
a705,1,Have they met before?,107518,535
a706,2,Has something tragic happened?,107518,535
a707,1,Is there music playing?,375809,535
a708,2,Is there a limit to how many people can attend?,375809,535
a709,1,Are they co workers?,5094,535
a710,2,Did their car breakdown? ,5094,535
a791,1,Do your eyes light up?,427169,545
a792,2,What is your favorite food?,427169,545
a795,1,What is your favorite color?,344157,545
a796,2,Do you like going to wedding?,344157,545
a799,1,Who is your favorite team?,87602,545
a800,2,Witch team in the lead?,87602,545
a803,1, Do you no the name of this place?,65195,545
a804,2,How many animals are eating on the side?,65195,545
a807,1,Can you see what she reading?,122631,545
a808,2,Is this a restaurant? ,122631,545
a859,1,What country are these people in?,563545,552
a860,2,Has this woman questioned him before?,563545,552
a861,1,Is this the first time the boy has been to the zoo?,435011,552
a862,2,How old are the giraffes?,435011,552
a863,1,When was the the skate park built?,301207,552
a864,2,Why isn't he wearing a helmet?,301207,552
a865,1,How often does she post to social media?,547764,552
a866,2,Where can you buy those pants?,547764,552
a867,1,Is she underage?,294325,552
a868,2,Isn't it bedtime?,294325,552
a869,1,Do these women know each other?,388662,553
a870,2,Which person approached the other first?,388662,553
a871,1,who took this photo?,260134,553
a872,2,Are there other vendors there?,260134,553
a873,1,WAs this a shotgun wedding?,110596,553
a874,2,Is this truck still running?,110596,553
a875,1,is this authentic from the set?,426829,553
a876,2,how heavy is this suitcase?,426829,553
a877,1,Are they family members?,495233,554
a878,2,Whose home is this?,495233,554
a879,1,Which of these donuts has filling?,107147,555
a880,2,Which donut goes best with coffee?,107147,555
a881,1,are those hats cakes too?,446141,553
a882,2,are there any women on this ship?,446141,553
a883,1,What other hobby does this child have besides skateboarding?,461815,555
a884,2,Does this child do well in school?,461815,555
a885,1,Could these skiers also be snowboarders?,389133,555
a886,2,What sports do these skiers do during the summer?,389133,555
a887,1,What city are or country is this ?,188009,554
a888,2,Are these people really interested in what he is doing?,188009,554
a889,1,Is this person the owner of this establishment?,257773,555
a890,2,Does this person like double chocolate chip cookies?,257773,555
a891,1,What is her job title?,314392,554
a892,2,Is she a stay home mom?,314392,554
a893,1,where are they?,168488,554
a894,2,Where are they going?,168488,554
a895,1,Are any of these people on a gluten free diet?,68287,555
a896,2,Are any of these people waiting for a pizza?,68287,555
a897,1,Is this giraffe in africa?,110084,554
a898,2,How old is this animal?,110084,554
a899,1,What is the name of the mountains that he is skiing on?,288486,556
a900,2,What is the elevation of the mountain?,288486,556
a901,1,Is the person skating a male or a female?,159554,556
a902,2,Does the skater know any skateboarding tricks?,159554,556
a903,1,Does this person live in an area by the water?,472426,556
a904,2,Is this man named Bob?,472426,556
a905,1,How many on each team hit a home run?,329563,556
a906,2,Is the guy is the blue mom there?,329563,556
a907,1,How many bedrooms does this house have?,468518,556
a908,2,How tall are the children shown here?,468518,556
a939,1,Where did the lady purchase her umbrella? ,258956,561
a940,2,Where is the lady headed?,258956,561
a941,1,Who owns the kite that is blue?,423107,561
a942,2,What day did this event take place?,423107,561
a943,1,Is this person part of a group?,132710,561
a944,2,Is this a professional skier?,132710,561
a945,1,How many home runs has this person made in this game?,468401,561
a946,2,Does he come from a big family?,468401,561
a947,1,Does this little girl enjoy riding her horse?,71441,561
a948,2,Is the woman in the picture related to the girl?,71441,561
a969,1,How heavy is the typical mountain bicycle?,123552,564
a970,2,In which countries are you allowed to ride on the roof of a bus?,123552,564
a973,1,How many hours of instruction and practice does one need to complete a typical beginner's ski class?,522971,564
a974,2,Which are main differences in natural powder (snow) and artificial snow from the skier's perspective?,522971,564
a981,1,Do humans take cats to the vet for annual checkups the way that humans go for annual checkups?,294909,564
a982,2,"When is a kitten considered an adult cat, as in, how many months?",294909,564
a985,1,What nutritional supplements should an older woman take to fight hair loss?,547348,564
a986,2,What kind of fabric or substance is used to make an umbrella canopy?,547348,564
a987,1,Are women more likely than men to eat pizza with a fork?,236184,564
a988,2,How do I make a vegan pizza?,236184,564
a1011,1,I wonder if that bathroom is cleaned by a maid or housekeeping?,510225,568
a1012,2,Where is the countertops to keep all their towels?,510225,568
a1015,1,Did the young lady and her dog grow up together?,334616,568
a1016,2,Does the dog like to take pictures?,334616,568
a1019,1,Why is he taking a photo in the bathroom?,47054,568
a1020,2,What if someone pop out of that shower?,47054,568
