Question Content,Image ID,Image Path,Categories
What game are they playing on the Wii?,443673,COCO_train2014_000000443673.jpg,"[1, 75, 44]"
Are they all playing a video game?,443673,COCO_train2014_000000443673.jpg,"[1, 75, 44]"
Why do they look so awkward?,443673,COCO_train2014_000000443673.jpg,"[1, 75, 44]"
What game are they playing?,443673,COCO_train2014_000000443673.jpg,"[1, 75, 44]"
What game are they playing?,443673,COCO_train2014_000000443673.jpg,"[1, 75, 44]"
In what city was this photo taken?,32442,COCO_train2014_000000032442.jpg,"[1, 27, 77]"
Why is she holding that sign?,32442,COCO_train2014_000000032442.jpg,"[1, 27, 77]"
"Why is she holding a sign that says ""slow""?",32442,COCO_train2014_000000032442.jpg,"[1, 27, 77]"
Is the woman helping with traffic?,32442,COCO_train2014_000000032442.jpg,"[1, 27, 77]"
What is she protesting?,32442,COCO_train2014_000000032442.jpg,"[1, 27, 77]"
What building are these people in?,354772,COCO_train2014_000000354772.jpg,"[32, 1, 67, 72, 62]"
Do you think he wants to be one when he grows up?,354772,COCO_train2014_000000354772.jpg,"[32, 1, 67, 72, 62]"
Is this kid's dad a fireman?,354772,COCO_train2014_000000354772.jpg,"[32, 1, 67, 72, 62]"
Why is the child dressed in a fireman uniform?,354772,COCO_train2014_000000354772.jpg,"[32, 1, 67, 72, 62]"
Why is he wearing a firefighter outfit?,354772,COCO_train2014_000000354772.jpg,"[32, 1, 67, 72, 62]"
Whose kitchen is this?,308575,COCO_train2014_000000308575.jpg,"[44, 79, 51, 86, 62]"
What is brewing in the pot?,308575,COCO_train2014_000000308575.jpg,"[44, 79, 51, 86, 62]"
What kind of flowers are in the vase?,308575,COCO_train2014_000000308575.jpg,"[44, 79, 51, 86, 62]"
What scent of candle is this?,308575,COCO_train2014_000000308575.jpg,"[44, 79, 51, 86, 62]"
Are those flowers picked fresh from the yard?,308575,COCO_train2014_000000308575.jpg,"[44, 79, 51, 86, 62]"
What kind of building is that?,100669,COCO_train2014_000000100669.jpg,"[1, 15]"
Why is he in a robe?,100669,COCO_train2014_000000100669.jpg,"[1, 15]"
Is this man waiting to enter the door?,100669,COCO_train2014_000000100669.jpg,"[1, 15]"
Where is this?,100669,COCO_train2014_000000100669.jpg,"[1, 15]"
What country is that in?,100669,COCO_train2014_000000100669.jpg,"[1, 15]"
What is the score in the game?,247545,COCO_train2014_000000247545.jpg,"[1, 43, 85, 28, 62]"
Who is he playing against?,247545,COCO_train2014_000000247545.jpg,"[1, 43, 85, 28, 62]"
Who is that tennis player?,247545,COCO_train2014_000000247545.jpg,"[1, 43, 85, 28, 62]"
What was the final score of the match?,247545,COCO_train2014_000000247545.jpg,"[1, 43, 85, 28, 62]"
What is the name of the tennis player?,247545,COCO_train2014_000000247545.jpg,"[1, 43, 85, 28, 62]"
What park is that?,200796,COCO_train2014_000000200796.jpg,"[1, 38]"
What kind of kite is that on the left?,200796,COCO_train2014_000000200796.jpg,"[1, 38]"
Where was this photo taken?,200796,COCO_train2014_000000200796.jpg,"[1, 38]"
What are they flying kites for?,200796,COCO_train2014_000000200796.jpg,"[1, 38]"
Is that the longest kite ever?,200796,COCO_train2014_000000200796.jpg,"[1, 38]"
Who is the lady in the black shirt?,433296,COCO_train2014_000000433296.jpg,"[1, 67, 44, 47, 79, 81, 82, 51, 85, 62]"
What is the lady looking at?,433296,COCO_train2014_000000433296.jpg,"[1, 67, 44, 47, 79, 81, 82, 51, 85, 62]"
What is she clapping about?,433296,COCO_train2014_000000433296.jpg,"[1, 67, 44, 47, 79, 81, 82, 51, 85, 62]"
What is the woman on the left doing with her hands?,433296,COCO_train2014_000000433296.jpg,"[1, 67, 44, 47, 79, 81, 82, 51, 85, 62]"
Why is she clapping?,433296,COCO_train2014_000000433296.jpg,"[1, 67, 44, 47, 79, 81, 82, 51, 85, 62]"
Why is the doof off of the fridge?,305600,COCO_train2014_000000305600.jpg,"[1, 82, 44, 79]"
What is she doing with the fridge door?,305600,COCO_train2014_000000305600.jpg,"[1, 82, 44, 79]"
Why is the woman removing the fridge door?,305600,COCO_train2014_000000305600.jpg,"[1, 82, 44, 79]"
Is she putting that together or taking it apart?,305600,COCO_train2014_000000305600.jpg,"[1, 82, 44, 79]"
Is she stealing it or fixing it?,305600,COCO_train2014_000000305600.jpg,"[1, 82, 44, 79]"
Is the man texting?,126552,COCO_train2014_000000126552.jpg,"[1, 73, 44, 77, 85]"
Who's he texting?,126552,COCO_train2014_000000126552.jpg,"[1, 73, 44, 77, 85]"
What is he doing on his phone?,126552,COCO_train2014_000000126552.jpg,"[1, 73, 44, 77, 85]"
What is his n,126552,COCO_train2014_000000126552.jpg,"[1, 73, 44, 77, 85]"
Who is he texting?,126552,COCO_train2014_000000126552.jpg,"[1, 73, 44, 77, 85]"
Who won?,184697,COCO_train2014_000000184697.jpg,"[1, 37]"
What is the score of the game?,184697,COCO_train2014_000000184697.jpg,"[1, 37]"
Did one of the players trip?,184697,COCO_train2014_000000184697.jpg,"[1, 37]"
Which team won the game?,184697,COCO_train2014_000000184697.jpg,"[1, 37]"
Is the player going to reach the ball?,184697,COCO_train2014_000000184697.jpg,"[1, 37]"
Where is this?,46942,COCO_train2014_000000046942.jpg,"[1, 33]"
Are they going up or down?,46942,COCO_train2014_000000046942.jpg,"[1, 33]"
Why is there a strip on his luggage?,46942,COCO_train2014_000000046942.jpg,"[1, 33]"
Is the man walking?,46942,COCO_train2014_000000046942.jpg,"[1, 33]"
How many times have you flown?,46942,COCO_train2014_000000046942.jpg,"[1, 33]"
Is the dog wearing a jacket and scarf?,36439,COCO_train2014_000000036439.jpg,"[1, 18, 63]"
What do you think the pug thinks of his outfit?,36439,COCO_train2014_000000036439.jpg,"[1, 18, 63]"
Are they taking the dog out for Halloween?,36439,COCO_train2014_000000036439.jpg,"[1, 18, 63]"
Is the dog a pug?,36439,COCO_train2014_000000036439.jpg,"[1, 18, 63]"
What kind of dog is that?,36439,COCO_train2014_000000036439.jpg,"[1, 18, 63]"
Did you shake his hand?,363957,COCO_train2014_000000363957.jpg,"[32, 1, 85, 62]"
Are these two men politicians?,363957,COCO_train2014_000000363957.jpg,"[32, 1, 85, 62]"
What do you think is the occasion for this meeting?,363957,COCO_train2014_000000363957.jpg,"[32, 1, 85, 62]"
Are they dating?,363957,COCO_train2014_000000363957.jpg,"[32, 1, 85, 62]"
Really?,363957,COCO_train2014_000000363957.jpg,"[32, 1, 85, 62]"
Is this child doing a good job skiing?,54678,COCO_train2014_000000054678.jpg,"[1, 35]"
How old is the child?,54678,COCO_train2014_000000054678.jpg,"[1, 35]"
Did the child love to ski?,54678,COCO_train2014_000000054678.jpg,"[1, 35]"
How far can he go?,54678,COCO_train2014_000000054678.jpg,"[1, 35]"
